Index,State,District,Total_rainfall,CN,S,Runoff
0,ANDHRA PRADESH,ANANTAPUR,662.4277516,80,2.5,659.4371582
1,ANDHRA PRADESH,EAST GODAVARI,970.926438,85,1.764705882,968.8119937
2,ANDHRA PRADESH,GUNTUR,833.6693928,75,3.333333333,829.6826783
3,ANDHRA PRADESH,HYDERABAD,745.974927,64,5.625,739.2670878
4,ANDHRA PRADESH,KRISHNA,618.9324524,79,2.658227848,615.7539566
5,ANDHRA PRADESH,KURNOOL,524.9584396,90,1.111111111,523.627454
6,ANDHRA PRADESH,MAHBUBNAGAR,620.5723944,35,18.57142857,598.8294594
7,ANDHRA PRADESH,MEDAK,837.1134164,70,4.285714286,831.992411
8,ANDHRA PRADESH,NALGONDA,742.0348042,75,3.333333333,738.0497244
9,ANDHRA PRADESH,NELLORE,1202.272064,44,12.72727273,1187.132936
10,ANDHRA PRADESH,PRAKASAM,810.3393886,61,6.393442623,802.7173843
11,ANDHRA PRADESH,RANGAREDDI,670.7145906,30,23.33333333,643.5043487
12,ANDHRA PRADESH,SRIKAKULAM,977.3473905,85,1.764705882,975.2329252
13,ANDHRA PRADESH,VISAKHAPATNAM,972.983128,98,0.204081633,972.7382728
14,ANDHRA PRADESH,WEST GODAVARI,849.6614619,74,3.513513514,845.4597268
15,ARUNACHAL PRADESH,CHANGLANG,2284.841954,64,5.625,2278.105775
16,ARUNACHAL PRADESH,EAST KAMENG,2179.770944,36,17.77777778,2158.581663
17,ARUNACHAL PRADESH,EAST SIANG,2211.336464,97,0.309278351,2210.965373
18,ARUNACHAL PRADESH,LOHIT,2142.832103,70,4.285714286,2137.697804
19,ARUNACHAL PRADESH,TAWANG,3158.801156,45,12.22222222,3144.181634
20,ARUNACHAL PRADESH,TIRAP,1680.093665,75,3.333333333,1676.100268
21,ARUNACHAL PRADESH,UPPER SUBANSIRI,1607.003655,63,5.873015873,1599.977437
22,ARUNACHAL PRADESH,WEST KAMENG,2759.320291,91,0.989010989,2758.133832
23,ARUNACHAL PRADESH,WEST SIANG,1316.801099,95,0.526315789,1316.16973
24,ASSAM,CACHAR,2858.468753,31,22.25806452,2831.93132
25,ASSAM,HAILAKANDI,2658.192276,69,4.492753623,2652.808555
26,ASSAM,KOKRAJHAR,2426.522056,80,2.5,2423.52463
27,ASSAM,NAGAON,3027.427079,75,3.333333333,3023.430746
28,ASSAM,NALBARI,2163.695126,33,20.3030303,2139.520584
29,ASSAM,NORTH CACHAR HILLS,3675.543802,71,4.084507042,3670.646928
30,ASSAM,SIBSAGAR,1875.307921,81,2.345679012,1872.496037
31,ASSAM,SONITPUR,2572.732867,32,21.25,2547.407233
32,ASSAM,TINSUKIA,2021.789683,48,10.83333333,2008.847483
33,BIHAR,ARARIA,1483.382062,32,21.25,1458.183027
34,BIHAR,AURANGABAD_BH,1092.234007,97,0.309278351,1091.862961
35,BIHAR,BEGUSARAI,1053.137929,80,2.5,1050.143852
36,BIHAR,BHAGALPUR,1128.725116,76,3.157894737,1124.944458
37,BIHAR,BHOJPUR,758.4360957,48,10.83333333,745.5890884
38,BIHAR,BUXAR,718.2179933,95,0.526315789,717.5867998
39,BIHAR,GAYA,931.4873257,33,20.3030303,907.5586372
40,BIHAR,GOPALGANJ,1084.787517,67,4.925373134,1078.899351
41,BIHAR,JEHANABAD,1047.692946,92,0.869565217,1046.650189
42,BIHAR,KAIMUR (BHABUA),1143.884668,58,7.24137931,1135.240623
43,BIHAR,KATIHAR,1630.43045,85,1.764705882,1628.314711
44,BIHAR,KHAGARIA,1011.695171,72,3.888888889,1007.043407
45,BIHAR,KISHANGANJ,1759.636923,49,10.40816327,1747.208401
46,BIHAR,LAKHISARAI,1082.787089,71,4.084507042,1077.901042
47,BIHAR,MADHEPURA,1164.785073,79,2.658227848,1161.601255
48,BIHAR,MADHUBANI,1033.735402,37,17.02702703,1013.57978
49,BIHAR,MUNGER,1223.176489,87,1.494252874,1221.385209
50,BIHAR,MUZAFFARPUR,1078.833862,50,10,1066.925872
51,BIHAR,NALANDA,1041.818992,90,1.111111111,1040.486843
52,BIHAR,NAWADA,1114.787603,88,1.363636364,1113.152906
53,BIHAR,PASHCHIM CHAMPARAN,1290.914868,33,20.3030303,1266.866582
54,BIHAR,PATNA,1337.544935,52,9.230769231,1326.531366
55,BIHAR,PURBA CHAMPARAN,1046.619703,50,10,1034.714524
56,BIHAR,PURNIA,1339.291454,55,8.181818182,1329.523012
57,BIHAR,SAHARSA,1293.739082,44,12.72727273,1278.590583
58,BIHAR,SAMASTIPUR,877.6749567,65,5.384615385,871.246292
59,BIHAR,SARAN,1394.761415,43,13.25581395,1378.979471
60,BIHAR,SHEIKHPURA,1142.706235,68,4.705882353,1137.078492
61,BIHAR,SITAMARHI,1182.049875,78,2.820512821,1178.671977
62,BIHAR,SIWAN,914.4172455,80,2.5,911.4240655
63,BIHAR,SUPAUL,1225.550487,50,10,1213.631554
64,BIHAR,VAISHALI,1267.842003,37,17.02702703,1247.635812
65,CHANDIGARH,CHANDIGARH,688.9901904,56,7.857142857,679.6504106
66,CHHATTISGARH,BASTAR,1334.316189,85,1.764705882,1332.200873
67,CHHATTISGARH,DHAMTARI,1128.904605,31,22.25806452,1102.626964
68,CHHATTISGARH,DURG,1138.778181,75,3.333333333,1134.787915
69,CHHATTISGARH,JANJGIR-CHAMPA,1208.806449,51,9.607843137,1197.35292
70,CHHATTISGARH,KANKER,1399.258645,33,20.3030303,1375.186222
71,CHHATTISGARH,KAWARDHA,1286.698872,97,0.309278351,1286.327812
72,CHHATTISGARH,MAHASAMUND,1141.397973,31,22.25806452,1115.115676
73,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,1574.031254,95,0.526315789,1573.399851
74,GUJARAT,AHMADABAD,633.6318051,87,1.494252874,631.8422188
75,GUJARAT,AMRELI,919.894322,73,3.698630137,915.4707893
76,GUJARAT,BANAS KANTHA,778.8043103,94,0.638297872,778.0388757
77,GUJARAT,BHAVNAGAR,810.9417769,41,14.3902439,793.9252662
78,GUJARAT,DOHAD,909.2414096,84,1.904761905,906.9596789
79,GUJARAT,KACHCHH,469.6952497,72,3.888888889,465.0605696
80,GUJARAT,KHEDA,826.1112997,87,1.494252874,824.3208951
81,GUJARAT,MAHESANA,702.0566742,63,5.873015873,695.0578589
82,GUJARAT,NARMADA,1374.423809,36,17.77777778,1353.318071
83,GUJARAT,RAJKOT,713.8815436,30,23.33333333,686.6247636
84,GUJARAT,SABAR KANTHA,866.2385125,65,5.384615385,859.8102797
85,GUJARAT,SURAT,1738.06059,77,2.987012987,1734.481301
86,GUJARAT,SURENDRANAGAR,634.1055447,70,4.285714286,628.9914975
87,HARYANA,BHIWANI,308.2752702,67,4.925373134,302.4425229
88,HARYANA,FARIDABAD,735.6972654,53,8.867924528,725.161627
89,HARYANA,GURGAON,808.6707183,57,7.543859649,799.6879399
90,HARYANA,HISAR,415.3401126,31,22.25806452,389.7742084
91,HARYANA,JHAJJAR,506.3785934,81,2.345679012,503.5746043
92,HARYANA,JIND,667.9198088,80,2.5,664.9291383
93,HARYANA,KAITHAL,487.8669369,30,23.33333333,460.9417806
94,HARYANA,KARNAL,541.9745999,68,4.705882353,536.3681197
95,HARYANA,KURUKSHETRA,722.8527571,80,2.5,719.8613795
96,HARYANA,MAHENDRAGARH,735.4065131,31,22.25806452,709.3545799
