Index,State,District,Total_rainfall,suitability
0,ANDHRA PRADESH,ANANTAPUR,662.4277516,low
1,ANDHRA PRADESH,EAST GODAVARI,970.926438,high
2,ANDHRA PRADESH,GUNTUR,833.6693928,moderate
3,ANDHRA PRADESH,HYDERABAD,745.974927,moderate
4,ANDHRA PRADESH,KRISHNA,618.9324524,low
5,ANDHRA PRADESH,KURNOOL,524.9584396,low
6,ANDHRA PRADESH,MAHBUBNAGAR,620.5723944,low
7,ANDHRA PRADESH,MEDAK,837.1134164,moderate
8,ANDHRA PRADESH,NALGONDA,742.0348042,moderate
9,ANDHRA PRADESH,NELLORE,1202.272064,high
10,ANDHRA PRADESH,PRAKASAM,810.3393886,moderate
11,ANDHRA PRADESH,RANGAREDDI,670.7145906,moderate
12,ANDHRA PRADESH,SRIKAKULAM,977.3473905,high
13,ANDHRA PRADESH,VISAKHAPATNAM,972.983128,high
14,ANDHRA PRADESH,WEST GODAVARI,849.6614619,moderate
15,ARUNACHAL PRADESH,CHANGLANG,2284.841954,moderate
16,ARUNACHAL PRADESH,EAST KAMENG,2179.770944,moderate
17,ARUNACHAL PRADESH,EAST SIANG,2211.336464,moderate
18,ARUNACHAL PRADESH,LOHIT,2142.832103,moderate
19,ARUNACHAL PRADESH,TAWANG,3158.801156,high
20,ARUNACHAL PRADESH,TIRAP,1680.093665,moderate
21,ARUNACHAL PRADESH,UPPER SUBANSIRI,1607.003655,low
22,ARUNACHAL PRADESH,WEST KAMENG,2759.320291,high
23,ARUNACHAL PRADESH,WEST SIANG,1316.801099,low
24,ASSAM,CACHAR,2858.468753,moderate
25,ASSAM,HAILAKANDI,2658.192276,moderate
26,ASSAM,KOKRAJHAR,2426.522056,moderate
27,ASSAM,NAGAON,3027.427079,high
28,ASSAM,NALBARI,2163.695126,moderate
29,ASSAM,NORTH CACHAR HILLS,3675.543802,high
30,ASSAM,SIBSAGAR,1875.307921,low
31,ASSAM,SONITPUR,2572.732867,moderate
32,ASSAM,TINSUKIA,2021.789683,low
33,BIHAR,ARARIA,1483.382062,high
34,BIHAR,AURANGABAD_BH,1092.234007,moderate
35,BIHAR,BEGUSARAI,1053.137929,moderate
36,BIHAR,BHAGALPUR,1128.725116,moderate
37,BIHAR,BHOJPUR,758.4360957,low
38,BIHAR,BUXAR,718.2179933,low
39,BIHAR,GAYA,931.4873257,low
40,BIHAR,GOPALGANJ,1084.787517,moderate
