Index,State,District,Total_rainfall,CN,S,Runoff,suitability,difference
0,ANDHRA PRADESH,NELLORE,1202.272064,44,12.72727273,1187.132936,high,15.139128
1,ANDHRA PRADESH,SRIKAKULAM,977.3473905,85,1.764705882,975.2329252,high,2.1144653
2,ANDHRA PRADESH,VISAKHAPATNAM,972.983128,98,0.204081633,972.7382728,high,0.2448552
3,ANDHRA PRADESH,EAST GODAVARI,970.926438,85,1.764705882,968.8119937,high,2.1144443
4,ANDHRA PRADESH,WEST GODAVARI,849.6614619,74,3.513513514,845.4597268,moderate,4.2017351
5,ANDHRA PRADESH,MEDAK,837.1134164,70,4.285714286,831.992411,moderate,5.1210054
6,ANDHRA PRADESH,GUNTUR,833.6693928,75,3.333333333,829.6826783,moderate,3.9867145
7,ANDHRA PRADESH,PRAKASAM,810.3393886,61,6.393442623,802.7173843,moderate,7.6220043
8,ANDHRA PRADESH,HYDERABAD,745.974927,64,5.625,739.2670878,moderate,6.7078392
9,ANDHRA PRADESH,NALGONDA,742.0348042,75,3.333333333,738.0497244,moderate,3.9850798
10,ANDHRA PRADESH,ANANTAPUR,662.4277516,80,2.5,659.4371582,moderate,2.9905934
11,ANDHRA PRADESH,RANGAREDDI,670.7145906,30,23.33333333,643.5043487,low,27.2102419
12,ANDHRA PRADESH,KRISHNA,618.9324524,79,2.658227848,615.7539566,low,3.1784958
13,ANDHRA PRADESH,MAHBUBNAGAR,620.5723944,35,18.57142857,598.8294594,low,21.742935
14,ANDHRA PRADESH,KURNOOL,524.9584396,90,1.111111111,523.627454,low,1.3309856
15,ARUNACHAL PRADESH,TAWANG,3158.801156,45,12.22222222,3144.181634,high,14.619522
16,ARUNACHAL PRADESH,WEST KAMENG,2759.320291,91,0.989010989,2758.133832,high,1.186459
17,ARUNACHAL PRADESH,CHANGLANG,2284.841954,64,5.625,2278.105775,moderate,6.736179
18,ARUNACHAL PRADESH,EAST SIANG,2211.336464,97,0.309278351,2210.965373,moderate,0.371091
19,ARUNACHAL PRADESH,EAST KAMENG,2179.770944,36,17.77777778,2158.581663,moderate,21.189281
20,ARUNACHAL PRADESH,LOHIT,2142.832103,70,4.285714286,2137.697804,moderate,5.134299
21,ARUNACHAL PRADESH,TIRAP,1680.093665,75,3.333333333,1676.100268,moderate,3.993397
22,ARUNACHAL PRADESH,UPPER SUBANSIRI,1607.003655,63,5.873015873,1599.977437,low,7.026218
23,ARUNACHAL PRADESH,WEST SIANG,1316.801099,95,0.526315789,1316.16973,low,0.631369
24,ASSAM,NORTH CACHAR HILLS,3675.543802,71,4.084507042,3670.646928,high,4.896874
25,ASSAM,NAGAON,3027.427079,75,3.333333333,3023.430746,high,3.996333
26,ASSAM,CACHAR,2858.468753,31,22.25806452,2831.93132,moderate,26.537433
27,ASSAM,HAILAKANDI,2658.192276,69,4.492753623,2652.808555,moderate,5.383721
