,STATE,DISTRICT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.31,2.46,2.07,2.7,2.46,1.01,0.9,1.57,-,-
1,ANDAMAN & NICOBAR,SOUTH ANDAMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.04,3.51,2.56,3.44,2.4,1.29,1.88,2.25,-,-
2,ANDAMAN & NICOBAR,NICOBAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.99,4.86,4.16,5.43,4.56,2.93,4.4,3.91,-,-
3,ANDHRA PRADESH,KURNOOL,-,-,7.35,6.31,6.71,6.1,6.65,6.55,6.36,8.2,7.86,12.2,6.69,7.67,5.92,9.1,9.41,7.9,10.84,11.77,9.06,10.77,15.07,13.54,9.62,12.83,9.75,7.57,-
4,ANDHRA PRADESH,ANANTAPUR,-,-,11.51,7.81,9.24,8.05,9.51,8.91,8.52,11.84,12.06,17.62,12.06,15.5,11.65,10.96,12.48,10.44,13.87,17,17.53,22.48,18.89,25.53,16.73,22.76,18.97,11.63,-
5,ANDHRA PRADESH,SRIKAKULAM,-,-,6.29,6.84,7.37,7.14,6.06,6.39,6.33,7.45,5.85,7.32,6.26,6.38,5.5,7.31,6.63,5.32,6.89,6.07,5.84,6.27,6.35,7.45,5.87,5.38,4.9,6.54,-
6,ANDHRA PRADESH,VISAKHAPATNAM,-,-,5.96,6.24,6.96,6.85,6.68,6.4,5.69,7.79,5.44,7.21,5.65,5.88,5.48,9.13,8.38,6.21,8.97,8.06,7.99,8.18,8.38,9.04,7.35,8.43,8.4,8.6,-
7,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,-,-,6.41,4.87,5.09,5.62,5.83,6.31,5.85,7.23,7.47,9.09,6.65,7.41,6.07,7.31,7.57,5.87,7.32,7.86,8.35,9.07,5.98,10.98,9.51,11.95,9.44,4.1,-
8,ANDHRA PRADESH,PRAKASAM,-,-,6.06,5.05,5.36,5.52,6.25,5.87,6.07,7.69,7.45,8.61,5.87,8.11,6.54,11.45,12.51,8.8,13.74,12.82,10.79,16.56,19.74,24.31,18.29,21.61,17.69,10.14,-
9,ANDHRA PRADESH,KRISHNA,-,-,5.1,4.61,5.52,5.26,5.26,6.22,5.51,7.73,6.87,8.83,6.69,7.04,6.73,8.19,9.98,7.36,9.19,7.91,6.02,7.92,10.09,10.79,9.74,9.38,10.69,8.96,-
10,ANDHRA PRADESH,CHITTOOR,-,-,8.29,6.14,7.89,7.31,8.12,9.08,7.58,10.94,9.62,17.05,9.45,13.32,10.91,12.51,15.19,13.01,13.07,15.01,16.7,23.37,10.84,21.8,14.44,23.97,21.46,9.2,-
11,ANDHRA PRADESH,VIZIANAGARAM,-,-,5.96,6.32,6.15,6.15,6.13,5.93,5.4,7.44,5.3,6.39,5.24,5.51,4.77,6.67,5.77,4.25,6.64,5.92,6.27,6.42,6.74,7.54,6.62,7.57,6.28,7.42,-
